Date,Open,High,Low,Close,Adj Close,Volume
2019-02-21,45.200001,45.980000,44.770000,45.040001,45.040001,6096600
2019-02-22,45.500000,45.740002,44.020000,44.540001,44.540001,7290000
2019-02-25,44.490002,44.500000,42.910000,43.860001,43.860001,5329300
2019-02-26,43.410000,46.310001,43.320000,46.259998,46.259998,6654300
2019-02-27,46.349998,46.520000,45.090000,45.750000,45.750000,4843300
2019-02-28,47.020000,47.990002,46.740002,47.410000,47.410000,8950100
2019-03-01,47.959999,48.400002,46.720001,47.049999,47.049999,5146100
2019-03-04,47.520000,47.779999,45.650002,46.799999,46.799999,5592900
2019-03-05,46.250000,48.259998,46.250000,47.880001,47.880001,5901000
2019-03-06,47.509998,48.900002,45.959999,46.139999,46.139999,6773600
2019-03-07,46.250000,46.250000,44.470001,45.130001,45.130001,5571400
2019-03-08,43.970001,45.500000,43.709999,45.400002,45.400002,3895300
2019-03-11,45.520000,46.169998,44.889999,46.009998,46.009998,3428700
2019-03-12,45.820000,47.980000,45.680000,46.759998,46.759998,7100200
2019-03-13,47.459999,48.009998,45.759998,46.080002,46.080002,6541700
2019-03-14,45.950001,46.459999,44.970001,45.520000,45.520000,4845800
2019-03-15,45.520000,45.900002,45.060001,45.889999,45.889999,4110500
2019-03-18,45.880001,46.630001,45.070000,45.689999,45.689999,4445100
2019-03-19,46.099998,46.759998,45.560001,46.110001,46.110001,5073000
2019-03-20,45.930000,48.599998,45.669998,46.869999,46.869999,14748700
2019-03-21,47.110001,47.900002,45.810001,46.040001,46.040001,7249800
2019-03-22,45.799999,46.139999,44.303001,44.380001,44.380001,6625100
2019-03-25,44.959999,45.250000,43.349998,44.230000,44.230000,6016100
2019-03-26,44.590000,44.720001,43.680000,44.700001,44.700001,3589000
2019-03-27,44.410000,44.790001,42.099998,42.889999,42.889999,5498600
2019-03-28,42.264999,43.049999,40.560001,42.369999,42.369999,6230700
2019-03-29,42.680000,43.549000,42.139999,43.369999,43.369999,3526800
2019-04-01,43.689999,43.689999,42.299999,42.480000,42.480000,4007600
2019-04-02,42.299999,43.176998,42.049999,43.150002,43.150002,2872000
2019-04-03,43.150002,44.049999,42.810001,43.380001,43.380001,3119800
2019-04-04,43.060001,44.169998,42.830002,43.310001,43.310001,2619500
2019-04-05,43.669998,43.720001,43.140999,43.240002,43.240002,2802000
2019-04-08,42.959999,43.400002,42.310001,42.709999,42.709999,2993200
2019-04-09,42.290001,42.700001,41.189999,41.750000,41.750000,3547900
2019-04-10,41.400002,42.650002,41.320000,42.209999,42.209999,2201000
2019-04-11,41.939999,42.169998,39.660000,40.080002,40.080002,7071300
2019-04-12,41.369999,42.639999,41.299999,42.290001,42.290001,6650000
2019-04-15,41.930000,42.080002,40.330002,40.730000,40.730000,3903600
2019-04-16,40.959999,43.165001,40.959999,41.680000,41.680000,7617800
2019-04-17,43.169998,43.279999,41.959999,42.849998,42.849998,7023600
2019-04-18,46.150002,47.709999,44.160000,44.560001,44.560001,15488400
2019-04-22,45.900002,48.700001,45.070000,48.250000,48.250000,11913300
2019-04-23,48.340000,48.630001,46.860001,47.410000,47.410000,8244100
2019-04-24,47.270000,48.660000,46.639999,48.369999,48.369999,6385800
2019-04-25,48.099998,48.523998,47.500000,48.200001,48.200001,4185000
2019-04-26,48.189999,50.430000,48.119999,49.910000,49.910000,12612500
2019-04-29,49.900002,52.599998,49.020000,52.029999,52.029999,13118000
2019-04-30,52.099998,52.740002,50.221001,50.520000,50.520000,7731900
2019-05-01,50.700001,51.660000,50.180000,50.680000,50.680000,5117000
2019-05-02,50.340000,50.630001,47.220001,48.459999,48.459999,8862900
2019-05-03,49.080002,49.520000,48.619999,49.080002,49.080002,3869500
2019-05-06,47.360001,49.279999,47.009998,49.200001,49.200001,3631200
2019-05-07,48.709999,48.880001,47.200001,47.549999,47.549999,3854300
2019-05-08,47.500000,48.459999,47.259998,48.040001,48.040001,3168600
2019-05-09,47.869999,47.980000,46.150002,46.869999,46.869999,3882700
2019-05-10,46.840000,47.509998,45.880001,47.480000,47.480000,4451300
2019-05-13,46.470001,46.950001,43.689999,43.759998,43.759998,6441400
2019-05-14,44.750000,45.778999,44.610001,45.299999,45.299999,3852900
2019-05-15,45.250000,45.950001,44.189999,45.400002,45.400002,3572500
2019-05-16,45.860001,45.930000,44.939999,45.049999,45.049999,3235800
2019-05-17,44.779999,45.330002,44.330002,44.610001,44.610001,2877500
2019-05-20,44.099998,44.270000,43.020000,43.270000,43.270000,2622200
2019-05-21,44.259998,44.990002,43.900002,44.990002,44.990002,2470700
2019-05-22,44.930000,46.970001,44.650002,46.020000,46.020000,4594200
2019-05-23,45.349998,45.695000,43.930000,44.560001,44.560001,3715700
2019-05-24,44.900002,45.169998,44.259998,44.419998,44.419998,2228200
2019-05-28,44.490002,45.779999,44.380001,44.639999,44.639999,3066800
2019-05-29,44.200001,44.261002,42.169998,42.480000,42.480000,5416100
2019-05-30,42.660000,43.500000,42.099998,42.180000,42.180000,2980100
2019-05-31,41.419998,41.549999,40.000000,40.259998,40.259998,6244000
2019-06-03,40.290001,40.799999,38.380001,38.730000,38.730000,6303900
2019-06-04,39.520000,41.049999,39.200001,41.000000,41.000000,4010600
2019-06-05,41.810001,41.860001,39.900002,40.830002,40.830002,4080300
2019-06-06,41.169998,41.750000,40.049999,41.400002,41.400002,3176600
2019-06-07,41.599998,42.529999,41.540001,42.189999,42.189999,3811700
2019-06-10,42.669998,44.049999,42.613998,43.759998,43.759998,3817000
2019-06-11,44.130001,44.169998,42.369999,42.950001,42.950001,2651900
2019-06-12,42.349998,42.919998,41.549999,42.840000,42.840000,1930200
2019-06-13,42.740002,43.230000,41.549999,41.860001,41.860001,2976000
2019-06-14,41.259998,41.650002,40.450001,41.180000,41.180000,2613400
2019-06-17,41.450001,41.980000,40.880001,41.869999,41.869999,2484100
2019-06-18,42.119999,42.619999,41.810001,42.040001,42.040001,2348700
2019-06-19,42.299999,43.049999,41.980000,42.770000,42.770000,3241200
2019-06-20,43.869999,43.939999,42.470001,43.709999,43.709999,6213100
2019-06-21,40.849998,42.070000,39.750000,40.160000,40.160000,12477100
